system,SOD,nPRN,vtec_1,vtec_2,vtec_3,vtec_4,vtec_5,vtec_6,vtec_7,vtec_8,vtec_9,vtec_10,vtec_11,vtec_12,vtec_13,vtec_14,vtec_15,vtec_16,vtec_17,vtec_18,vtec_19,vtec_20,vtec_21,vtec_22,vtec_23,vtec_24,vtec_25,vtec_26,vtec_27,vtec_28,vtec_29,vtec_30,vtec_31,vtec_32,stec_1,stec_2,stec_3,stec_4,stec_5,stec_6,stec_7,stec_8,stec_9,stec_10,stec_11,stec_12,stec_13,stec_14,stec_15,stec_16,stec_17,stec_18,stec_19,stec_20,stec_21,stec_22,stec_23,stec_24,stec_25,stec_26,stec_27,stec_28,stec_29,stec_30,stec_31,stec_32,roti_1,roti_2,roti_3,roti_4,roti_5,roti_6,roti_7,roti_8,roti_9,roti_10,roti_11,roti_12,roti_13,roti_14,roti_15,roti_16,roti_17,roti_18,roti_19,roti_20,roti_21,roti_22,roti_23,roti_24,roti_25,roti_26,roti_27,roti_28,roti_29,roti_30,roti_31,roti_32,ipplat_1,ipplat_2,ipplat_3,ipplat_4,ipplat_5,ipplat_6,ipplat_7,ipplat_8,ipplat_9,ipplat_10,ipplat_11,ipplat_12,ipplat_13,ipplat_14,ipplat_15,ipplat_16,ipplat_17,ipplat_18,ipplat_19,ipplat_20,ipplat_21,ipplat_22,ipplat_23,ipplat_24,ipplat_25,ipplat_26,ipplat_27,ipplat_28,ipplat_29,ipplat_30,ipplat_31,ipplat_32,ipplon_1,ipplon_2,ipplon_3,ipplon_4,ipplon_5,ipplon_6,ipplon_7,ipplon_8,ipplon_9,ipplon_10,ipplon_11,ipplon_12,ipplon_13,ipplon_14,ipplon_15,ipplon_16,ipplon_17,ipplon_18,ipplon_19,ipplon_20,ipplon_21,ipplon_22,ipplon_23,ipplon_24,ipplon_25,ipplon_26,ipplon_27,ipplon_28,ipplon_29,ipplon_30,ipplon_31,ipplon_32
GPS,841,32,,,,,,,,,,,,,,,,,,2.0883795151749887,,,,,3.105248618083902,21.722850409854942,,,,,,,,,,,,,,,,,,,,,,,,,,2.2116629660806097,,,,,7.814139568094319,27.074566246286267,,,,,,,,,,,,,,,,,,,,,,,,,,0.04966470097072861,,,,,0.022531876612666715,0.06309879502138489,,,,,,,,,,,,,,,,,,,,,,,,,,19.28552033055922,,,,,22.071058800452196,19.252667954487976,,,,,,,,,,,,,,,,,,,,,,,,,,98.8350756981748,,,,,98.41097932231916,101.01709153861945,,,,,,,,
GPS,871,32,,,,,,,,,,,,,,,,,,2.258675141796365,,,,,3.1758686536377265,21.76802708078943,,,,,,,,,,,,,,,,,,,,,,,,,,2.3770554536769595,,,,,7.895567763586527,27.15557171763583,,,,,,,,,,,,,,,,,,,,,,,,,,0.07758858986382948,,,,,0.0743148461114682,0.06433309707928916,,,,,,,,,,,,,,,,,,,,,,,,,,19.271662328295964,,,,,22.065023894268563,19.268893282260628,,,,,,,,,,,,,,,,,,,,,,,,,,98.83822910438943,,,,,98.42906134177915,101.01945832006913,,,,,,,,
GPS,901,32,,,,,,,,,,,,,,,,,,2.4060349069149662,,,,,3.3854993514460947,21.808465893887938,,,,,,,,,,,,,,,,,,,,,,,,,,2.519230172372172,,,,,8.174784578060311,27.231897434130936,,,,,,,,,,,,,,,,,,,,,,,,,,0.054385186046245905,,,,,0.04769551855079272,0.05063946541585346,,,,,,,,,,,,,,,,,,,,,,,,,,19.25780678728332,,,,,22.0589116289842,19.28513538579932,,,,,,,,,,,,,,,,,,,,,,,,,,98.8413513604974,,,,,98.44708991569766,101.0218707941037,,,,,,,,
GPS,931,32,,,,,,,,,,,,,,,,,,2.5412522363484147,,,,,3.4641788903342334,21.89547330690255,,,,,,,,,,,,,,,,,,,,,,,,,,2.6491469193699153,,,,,8.26699135260445,27.364259739591574,,,,,,,,,,,,,,,,,,,,,,,,,,0.08062080710155886,,,,,0.08371542051153895,0.07174636197435347,,,,,,,,,,,,,,,,,,,,,,,,,,19.243953385934567,,,,,22.052722426160692,19.301394910129208,,,,,,,,,,,,,,,,,,,,,,,,,,98.84444279607115,,,,,98.46506476671466,101.0243294228297,,,,,,,,
GPS,961,32,,,,,,,,,,,,,,,,,,2.6108609585748965,,,,,3.5684247190798946,21.989392531461373,,,,,,,,,,,,,,,,,,,,,,,,,,2.712852334254336,,,,,8.395277703651274,27.505830622382675,,,,,,,,,,,,,,,,,,,,,,,,,,0.06343115102849521,,,,,0.045804793769564485,0.08332610167195735,,,,,,,,,,,,,,,,,,,,,,,,,,19.230101801554923,,,,,22.046456708477077,19.31767250324961,,,,,,,,,,,,,,,,,,,,,,,,,,98.8475037389422,,,,,98.48298562197684,101.02683467298817,,,,,,,,
GPS,991,32,,,,,,,,,,,,,,,,,,2.768911873451975,,,,,3.7075633208281324,22.17677882793326,,,,,,,,,,,,,,,,,,,,,,,,,,2.8659263849969037,,,,,8.572747086647084,27.75926335649693,,,,,,,,,,,,,,,,,,,,,,,,,,0.04986223594650702,,,,,0.06750856636903244,0.07793605809819175,,,,,,,,,,,,,,,,,,,,,,,,,,19.216251710321057,,,,,22.040114899678986,19.333968816207257,,,,,,,,,,,,,,,,,,,,,,,,,,98.85053451522937,,,,,98.50085221315257,101.02938701603465,,,,,,,,
GPS,1021,32,,,,,,,,,,,,,,,,,,2.901075247192825,,,,,3.8683031137165376,22.360230571322163,,,,,,,,16.92945388070723,,,,,,,,,,,,,,,,,,2.9929145260865226,,,,,8.780378333709606,28.009284401794403,,,,,,,,35.54128335879303,,,,,,,,,,,,,,,,,,0.06575926442113508,,,,,0.05738960797015338,0.08272786678296785,,,,,,,,,,,,,,,,,,,,,,,,,,19.202402787260407,,,,,22.03369742452992,19.350284503178017,,,,,,,,17.347598344724158,,,,,,,,,,,,,,,,,,98.85353544936703,,,,,98.51866427644075,101.03198692822168,,,,,,,,94.14650912223235
GPS,1051,32,,,,,,,,,,,,,,,,,,3.104260385808649,,,,,4.067186633228301,22.508554053791542,,,,,,,,17.110300710897754,,,,,,,,,,,,,,,,,,3.191548593353353,,,,,9.041479858279317,28.218847980491596,,,,,,,,35.75163195608267,,,,,,,,,,,,,,,,,,0.03926194542381557,,,,,0.059915887750752454,0.07617391900773446,,,,,,,,,,,,,,,,,,,,,,,,,,19.18855470623003,,,,,22.02720470875765,19.366620221544746,,,,,,,,17.37270473983043,,,,,,,,,,,,,,,,,,98.85650686413304,,,,,98.53642155259188,101.03463489068176,,,,,,,,94.15928083860457
GPS,1081,32,,,,,,,,,,,,,,,,,,3.234805658951526,,,,,4.225604734625538,22.55938896676372,,,,,,,,17.208963681234295,,,,,,,,,,,,,,,,,,3.3169968766410953,,,,,9.244703142251623,28.313711675569948,,,,,,,,35.81835655048766,,,,,,,,,,,,,,,,,,0.05758893896127038,,,,,0.05361255114338315,0.11997098321961265,,,,,,,,,,,,,,,,,,,,,,,,,,19.174707139895517,,,,,22.020637179006734,19.382976631981297,,,,,,,,17.397681353949647,,,,,,,,,,,,,,,,,,98.85944908067674,,,,,98.5541237869117,101.03733138951222,,,,,,,,94.1719803816481
GPS,1111,32,,,,,,,,,,,,,,,,,,3.3338458708701157,,,,,4.417356171151608,22.566867048823777,,,,,,,,17.415640540717952,,,,,,,,,,,,,,,,,,3.410803832289673,,,,,9.494482646094738,28.35797334028323,,,,,,,,36.07287623887813,,,,,,,,,,,,,,,,,,0.0543335352219257,,,,,0.06558521891119769,0.10734902718608301,,,,,,,,,,,,,,,,,,,,,,,,,,19.160859759709265,,,,,22.013995262782935,19.39935439853435,,,,,,,,17.422529782091424,,,,,,,,,,,,,,,,,,98.86236241854677,,,,,98.57177072928644,101.04007691586091,,,,,,,,94.18460906701384
