system,SOD,nPRN,vtec_1,vtec_2,vtec_3,vtec_4,vtec_5,vtec_6,vtec_7,vtec_8,vtec_9,vtec_10,vtec_11,vtec_12,vtec_13,vtec_14,vtec_15,vtec_16,vtec_17,vtec_18,vtec_19,vtec_20,vtec_21,vtec_22,vtec_23,vtec_24,vtec_25,vtec_26,vtec_27,vtec_28,stec_1,stec_2,stec_3,stec_4,stec_5,stec_6,stec_7,stec_8,stec_9,stec_10,stec_11,stec_12,stec_13,stec_14,stec_15,stec_16,stec_17,stec_18,stec_19,stec_20,stec_21,stec_22,stec_23,stec_24,stec_25,stec_26,stec_27,stec_28,roti_1,roti_2,roti_3,roti_4,roti_5,roti_6,roti_7,roti_8,roti_9,roti_10,roti_11,roti_12,roti_13,roti_14,roti_15,roti_16,roti_17,roti_18,roti_19,roti_20,roti_21,roti_22,roti_23,roti_24,roti_25,roti_26,roti_27,roti_28,ipplat_1,ipplat_2,ipplat_3,ipplat_4,ipplat_5,ipplat_6,ipplat_7,ipplat_8,ipplat_9,ipplat_10,ipplat_11,ipplat_12,ipplat_13,ipplat_14,ipplat_15,ipplat_16,ipplat_17,ipplat_18,ipplat_19,ipplat_20,ipplat_21,ipplat_22,ipplat_23,ipplat_24,ipplat_25,ipplat_26,ipplat_27,ipplat_28,ipplon_1,ipplon_2,ipplon_3,ipplon_4,ipplon_5,ipplon_6,ipplon_7,ipplon_8,ipplon_9,ipplon_10,ipplon_11,ipplon_12,ipplon_13,ipplon_14,ipplon_15,ipplon_16,ipplon_17,ipplon_18,ipplon_19,ipplon_20,ipplon_21,ipplon_22,ipplon_23,ipplon_24,ipplon_25,ipplon_26,ipplon_27,ipplon_28
GAL,70591,28,,,,,,,,,,,,,,,,,,,6.41257042838966,,,,-1.9379665844516545,,-3.947366984336012,-8.713891286287774,,,,,,,,,,,,,,,,,,,,,11.55710111704835,,,,0.30674204286278695,,-2.232491913808424,-9.0834684318841,,,,,,,,,,,,,,,,,,,,,0.049169538720666414,,,,0.04219348703832758,,0.026405442252561827,0.014427057915552752,,,,,,,,,,,,,,,,,,,,,16.158887061471162,,,,17.651240731697392,,19.494783452576073,21.927382062261614,,,,,,,,,,,,,,,,,,,,,97.52135044985937,,,,101.95338938829096,,95.44863571102415,98.01263719713015,,
GAL,70621,28,,,,,,,,,,,,,,,,,,,6.359453074800676,,,,-1.9942383155359469,,-3.9492358127403824,-8.763808595950275,,,,,,,,,,,,,,,,,,,,,11.535295401734405,,,,0.21697716612828089,,-2.2355706958965627,-9.15405449705409,,,,,,,,,,,,,,,,,,,,,0.02621206386040436,,,,0.0683973753584113,,0.029912924564268754,0.02112473985062272,,,,,,,,,,,,,,,,,,,,,16.139852111999666,,,,17.66744103156749,,19.479563158201596,21.930655825786488,,,,,,,,,,,,,,,,,,,,,97.51946858208561,,,,101.94892682460224,,95.44613644637131,98.02638949828439,,
GAL,70651,28,,,,,,,,,,,,,,,,,,,6.3332633830872975,,,,-2.06110533735725,,-3.9690096024846575,-8.732147859263936,,,,,,,,,,,,,,,,,,,,,11.550322126361646,,,,0.11297640895170247,,-2.2643813247544387,-9.109200278653844,,,,,,,,,,,,,,,,,,,,,0.04193018831878261,,,,0.05892554175203449,,0.022665910714540407,0.02819418239276998,,,,,,,,,,,,,,,,,,,,,16.1207317432924,,,,17.68359369617566,,19.464344240240305,21.93385430637527,,,,,,,,,,,,,,,,,,,,,97.51759546052972,,,,101.94448497890563,,95.44359175272656,98.0401576682355,,
GAL,70681,28,,,,,,,,,,,,,,,,,,,6.3208631066144765,,,,-2.1191000384006875,,-3.9484826776583484,-8.70529846430133,,,,,,,,,,,,,,,,,,,,,11.58444293740391,,,,0.021573273415903316,,-2.2349775546016275,-9.071153270907303,,,,,,,,,,,,,,,,,,,,,0.029424640617904056,,,,0.05261109212964654,,0.03627224171944077,0.018176944883838145,,,,,,,,,,,,,,,,,,,,,16.101525232830546,,,,17.699699245989752,,19.449126173336804,21.936977381027766,,,,,,,,,,,,,,,,,,,,,97.51573135989489,,,,101.94006397269435,,95.44100181908946,98.05394130094842,,
GAL,70711,28,,,,,,,,,,,,,,,,,,,6.288493349192075,,,,-2.1892011330744507,,-3.974846937036636,-8.69871295497883,,,,,,,,,,,,,,,,,,,,,11.591363158422599,,,,-0.0860993745195131,,-2.2731092222491824,-9.061775726935139,,,,,,,,,,,,,,,,,,,,,0.029196542796898293,,,,0.057294363875370555,,0.04354553589366182,0.024450269004297587,,,,,,,,,,,,,,,,,,,,,16.08223185344378,,,,17.715758199160355,,19.43390843287091,21.940024930170274,,,,,,,,,,,,,,,,,,,,,97.51387655798527,,,,101.93566392680205,,95.43836683216973,98.06773998858165,,
GAL,70741,28,,,,,,,,,,,,,,,,,,,6.2875446508076465,,,,-2.3209344071256863,,-3.9160764607185903,-8.710816912190246,,,,,,,,,,,,,,,,,,,,,11.641753514488702,,,,-0.27788781640706617,,-2.1883720996593325,-9.078836148768389,,,,,,,,,,,,,,,,,,,,,0.02585870746716735,,,,0.0374413500822108,,0.042454907904648224,0.04619630832863482,,,,,,,,,,,,,,,,,,,,,16.06285087320016,,,,17.73177107162035,,19.418690494830535,21.94299683769235,,,,,,,,,,,,,,,,,,,,,97.51203133574383,,,,101.93128496140848,,95.43568697640562,98.08155332160327,,
GAL,70771,28,,,,,,,,,,,,,,,,,,,6.285091760053904,,,,-2.4726870117583903,,-3.9271726012612835,-8.704616220885363,,,,,,,,,,,,,,,,,,,,,11.690420919228249,,,,-0.49645322257072877,,-2.2043026788367186,-9.069995240908682,,,,,,,,,,,,,,,,,,,,,0.02925395331403293,,,,0.05429214541435016,,0.046748541625,0.034906993436575086,,,,,,,,,,,,,,,,,,,,,16.043381555458538,,,,17.74773837705205,,19.403471835830747,21.945892990955308,,,,,,,,,,,,,,,,,,,,,97.51019597730628,,,,101.92692719608068,,95.43296243400768,98.09538088878593,,
GAL,70801,28,,,,,,,,,,,,,,,,,,,6.263833854546757,,,,-2.4968844541498187,,-3.928969868778643,-8.756023258025403,,,,,,,,,,,,,,,,,,,,,11.71335641194958,,,,-0.5398951050269218,,-2.206731814447437,-9.142643190627439,,,,,,,,,,,,,,,,,,,,,0.02579210276693014,,,,0.04215965909392707,,0.014116819586107696,0.043952072430303926,,,,,,,,,,,,,,,,,,,,,16.023823158833906,,,,17.763660626912884,,19.38825193305589,21.94871328081373,,,,,,,,,,,,,,,,,,,,,97.50837077004724,,,,101.92259074979826,,95.43019338498873,98.10922227726013,,
GAL,70831,28,,,,,,,,,,,,,,,,,,,6.221850122277921,,,,-2.6754438274232157,,-3.874349715150891,-8.722513714857008,,,,,,,,,,,,,,,,,,,,,11.707679011327496,,,,-0.7939088351547028,,-2.1277002798224345,-9.095162166350491,,,,,,,,,,,,,,,,,,,,,0.03376963752272469,,,,0.07746636178715643,,0.03171823348993679,0.021241273603727705,,,,,,,,,,,,,,,,,,,,,16.00417493714307,,,,17.779538330487174,,19.373030264189914,21.95145756686076,,,,,,,,,,,,,,,,,,,,,97.50655600462478,,,,101.91827574097134,,95.42738000719118,98.12307689884483,,
GAL,70861,28,,,,,,,,,,,,,,,,,5.5408883837566165,,6.189370682898581,,,,-2.805261474467006,,-3.9011659617898142,-8.737689240515923,,,,,,,,,,,,,,,,,,,15.562861823572721,,11.71530538400609,,,,-0.9806694902733639,,-2.166029748232944,-9.116544158044235,,,,,,,,,,,,,,,,,,,,,0.02005759502965208,,,,0.0390108992154196,,0.019483516121905842,0.04818145839755037,,,,,,,,,,,,,,,,,,,14.0702588152037,,15.984436139450132,,,,17.795371994860904,,19.357806307425935,21.954125818116772,,,,,,,,,,,,,,,,,,,99.88007273063795,,97.5047519750354,,,,101.91398228747921,,95.4245224763284,98.13694468871932,,
GAL,70891,28,,,,,,,,,,,,,,,,,5.463152555458992,,6.145450532761068,,,,-2.9400797058759878,,-3.8652249787745983,-8.763534486370792,,,,,,,,,,,,,,,,,,,15.344126999734303,,11.707057650065554,,,,-1.1736442473750301,,-2.1137468926685727,-9.153009379547726,,,,,,,,,,,,,,,,,,,,,0.03178110431962044,,,,0.07294789457709923,,0.0365548772522282,0.023068996522235957,,,,,,,,,,,,,,,,,,,14.100028656185795,,15.964606010014492,,,,17.811162124963356,,19.342579541390172,21.956717899645646,,,,,,,,,,,,,,,,,,,99.88153602150697,,97.50295897865985,,,,101.90971050669043,,95.42162096601044,98.15082505192343,,
GAL,70921,28,,,,,,,,,,,,,,,,,5.39188790358387,,6.110190344865396,,,,-3.118567327332145,,-3.8588603783890307,-8.730826975748055,,,,,,,,,,,,,,,,,,,15.138046237470665,,11.710983781521353,,,,-1.4253983574395832,,-2.104030415474192,-9.106658165302392,,,,,,,,,,,,,,,,,,,,,0.021311354057018717,,,,0.07538641128745345,,0.02099715364384031,0.042594726976891824,,,,,,,,,,,,,,,,,,,14.129622805784177,,15.944683788249453,,,,17.826909223617843,,19.327349445082668,21.959233716467438,,,,,,,,,,,,,,,,,,,99.88294496809854,,97.50117731631083,,,,101.90546051548067,,95.4186756477718,98.16471756952798,,
GAL,70951,28,,,,,,,,,,,,,,,,,5.26920249490761,,6.055351389462237,,,,-3.282595040190322,,-3.828285070011454,-8.739124512004103,,,,,,,,,,,,,,,,,,,14.844262515645536,,11.687483334847851,,,,-1.6567590228857583,,-2.0592891748146798,-9.118295394586283,,,,,,,,,,,,,,,,,,,,,0.03067636692752872,,,,0.06752953095926101,,0.027419222077100926,0.029852700470164542,,,,,,,,,,,,,,,,,,,14.15904258254027,,15.92466870878731,,,,17.842613791490926,,19.312115497900503,21.96167317717847,,,,,,,,,,,,,,,,,,,99.88430036180586,,97.49940729229084,,,,101.90123243027756,,95.41568669111554,98.17862182116413,,
GAL,70981,28,,,,,,,,,,,,,,,,,5.230050817039665,,5.989892352947683,,,,-3.348831848065573,,-3.8113467341941654,-8.751901025797526,,,,,,,,,,,,,,,,,,,14.696537415348818,,11.648956196171351,,,,-1.754799886152064,,-2.034122249372871,-9.136259703593922,,,,,,,,,,,,,,,,,,,0.0,,0.027180625024543874,,,,0.06886641077451937,,0.023332542848965795,0.026768091058444514,,,,,,,,,,,,,,,,,,,14.18828930011296,,15.904560001399155,,,,17.85827632716898,,19.296877179542122,21.96403619397702,,,,,,,,,,,,,,,,,,,99.88560298428952,,97.49764921443727,,,,101.89702636707099,,95.4126542635334,98.19253738512225,,
GAL,71011,28,,,,,,,,,,,,,,,,,5.1346671344022905,,5.944395370575293,,,,-3.4500779205617036,,-3.7831257146353128,-8.765881379927968,,,,,,,,,,,,,,,,,,,14.453059357064536,,11.638505282101573,,,,-1.89992640053908,,-1.9925728337907245,-9.15591871133688,,,,,,,,,,,,,,,,,,,0.0,,0.03694907189385761,,,,0.05346888635701694,,0.018221225519129167,0.025836297997189082,,,,,,,,,,,,,,,,,,,14.217364267101088,,15.884356891017866,,,,17.873897327151354,,19.28163396999789,21.966322682672523,,,,,,,,,,,,,,,,,,,99.88685360758565,,97.49590339417746,,,,101.89284244144582,,95.40957853054324,98.20646383836572,,
GAL,71041,28,,,,,,,,,,,,,,,,,4.898629688194415,,5.913915037311915,,,,-3.4967819776617475,,-3.7647038605225704,-8.776710650662201,,,,,,,,,,,,,,,,,,,13.970227042217775,,11.649351601951818,,,,-1.970823146340031,,-1.965061465263453,-9.17111491888734,,,,,,,,,,,,,,,,,,,0.0051657780568944356,,0.03795649012730655,,,,0.06583714172483646,,0.026544440015148933,0.02771735049422208,,,,,,,,,,,,,,,,,,,14.246268786983126,,15.864058597680392,,,,17.889477285909926,,19.26638534947027,21.968532562707086,,,,,,,,,,,,,,,,,,,99.88805299421854,,97.49417014657706,,,,101.88868076859633,,95.40645965571144,98.22040075661769,,
GAL,71071,28,,,,,,,,,,,,,,,,,4.742660642956443,,5.861526809337679,,,,-3.5876238572458545,,-3.7551187342272696,-8.824849172081926,,,,,,,,,,,,,,,,,,,13.62735232252987,,11.629184178063422,,,,-2.101092353774554,,-1.9502042235594388,-9.239045860340894,,,,,,,,,,,,,,,,,,,0.039578135073684025,,0.01938418592986295,,,,0.07558977182839084,,0.01831904673841389,0.026922730763404682,,,,,,,,,,,,,,,,,,,14.275004157891619,,15.84366433658027,,,,17.905016695853014,,19.251130798386143,21.97066575716122,,,,,,,,,,,,,,,,,,,99.88920189730526,,97.4924497903987,,,,101.88454146336646,,95.40329780069422,98.23434771435838,,
