system,SOD,nPRN,vtec_1,vtec_2,vtec_3,vtec_4,vtec_5,vtec_6,vtec_7,vtec_8,vtec_9,vtec_10,vtec_11,vtec_12,vtec_13,vtec_14,vtec_15,vtec_16,vtec_17,vtec_18,vtec_19,vtec_20,vtec_21,vtec_22,vtec_23,vtec_24,stec_1,stec_2,stec_3,stec_4,stec_5,stec_6,stec_7,stec_8,stec_9,stec_10,stec_11,stec_12,stec_13,stec_14,stec_15,stec_16,stec_17,stec_18,stec_19,stec_20,stec_21,stec_22,stec_23,stec_24,roti_1,roti_2,roti_3,roti_4,roti_5,roti_6,roti_7,roti_8,roti_9,roti_10,roti_11,roti_12,roti_13,roti_14,roti_15,roti_16,roti_17,roti_18,roti_19,roti_20,roti_21,roti_22,roti_23,roti_24,ipplat_1,ipplat_2,ipplat_3,ipplat_4,ipplat_5,ipplat_6,ipplat_7,ipplat_8,ipplat_9,ipplat_10,ipplat_11,ipplat_12,ipplat_13,ipplat_14,ipplat_15,ipplat_16,ipplat_17,ipplat_18,ipplat_19,ipplat_20,ipplat_21,ipplat_22,ipplat_23,ipplat_24,ipplon_1,ipplon_2,ipplon_3,ipplon_4,ipplon_5,ipplon_6,ipplon_7,ipplon_8,ipplon_9,ipplon_10,ipplon_11,ipplon_12,ipplon_13,ipplon_14,ipplon_15,ipplon_16,ipplon_17,ipplon_18,ipplon_19,ipplon_20,ipplon_21,ipplon_22,ipplon_23,ipplon_24
GLO,32851,24,,,,,,,-108.64889887617258,-111.59046440398888,,,,,,,,,,,,,,,,,,,,,,,-110.30814857687491,-118.22846786892501,,,,,,,,,,,,,,,,,,,,,,,0.021808245568416318,0.08388984719047025,,,,,,,,,,,,,,,,,,,,,,,17.519070135986258,21.12133987274184,,,,,,,,,,,,,,,,,,,,,,,97.62482524011678,96.10295666717619,,,,,,,,,,,,,,,,
GLO,32881,24,,,,,,,-108.42511631350158,-111.56346789810125,,,,,,,,,,,,,,,,,,,,,,,-110.0787403559132,-118.13722597070397,,,,,,,,,,,,,,,,,,,,,,,0.03909860040724959,0.06950883678779904,,,,,,,,,,,,,,,,,,,,,,,17.498810360443606,21.09602161229827,,,,,,,,,,,,,,,,,,,,,,,97.62137965251058,96.10478249281769,,,,,,,,,,,,,,,,
GLO,32911,24,,,,,,,-108.16677222721074,-111.54662859693381,,,,,,,,,,,,,,,,,,,,,,,-109.80866437059949,-118.06188616732938,,,,,,,,,,,,,,,,,,,,,,,0.06736790551620778,0.09367420715556612,,,,,,,,,,,,,,,,,,,,,,,17.478468592995384,21.070836306292694,,,,,,,,,,,,,,,,,,,,,,,97.61791477372614,96.10650194027795,,,,,,,,,,,,,,,,
GLO,32941,24,,,,,,,-107.99569739878567,-111.58616743802745,,,,,,,,,,,,,,,,,,,,,,,-109.63869378551246,-118.06996762768162,,,,,,,,,,,,,,,,,,,,,,,0.06785476605671126,0.07176209821844325,,,,,,,,,,,,,,,,,,,,,,,17.45804347678169,21.04578154820912,,,,,,,,,,,,,,,,,,,,,,,97.61443074915762,96.10811612598195,,,,,,,,,,,,,,,,
GLO,32971,24,,,,,,,-107.7639635031677,-111.55570929755602,,,,,,,,,,,,,,,,,,,,,,,-109.39781514805365,-117.97637953184696,,,,,,,,,,,,,,,,,,,,,,,0.06885141550424997,0.03835894560715414,,,,,,,,,,,,,,,,,,,,,,,17.43753364098371,21.020854963077745,,,,,,,,,,,,,,,,,,,,,,,97.61092772443935,96.10962614489854,,,,,,,,,,,,,,,,
GLO,33001,24,,,,,,,-107.54685765546063,-111.59168813955804,,,,,,,,,,,,,,,,,,,,,,,-109.17309946762605,-117.98055063862537,,,,,,,,,,,,,,,,,,,,,,,0.05615436249413742,0.029072216223354964,,,,,,,,,,,,,,,,,,,,,,,17.416937700565548,20.996054206781917,,,,,,,,,,,,,,,,,,,,,,,97.60740584550472,96.1110330709692,,,,,,,,,,,,,,,,
GLO,33031,24,,,,,,,-107.26225544586433,-111.67537958573085,,,,,,,,,,,,,,,,,,,,,,,-108.86887291337217,-118.0545868576107,,,,,,,,,,,,,,,,,,,,,,,0.06794702224078115,0.041261801077537734,,,,,,,,,,,,,,,,,,,,,,,17.39625425600126,20.97137696540067,,,,,,,,,,,,,,,,,,,,,,,97.60386525862779,96.11233795750377,,,,,,,,,,,,,,,,
GLO,33061,24,,,,,,,-107.03220479996288,-111.68357022515046,,,,,,,,,,,,,,,,,,,,,,,-108.62721223425999,-118.01939356646602,,,,,,,,,,,,,,,,,,,,,,,0.04002169267291892,0.029950186906440156,,,,,,,,,,,,,,,,,,,,,,,17.375481893026652,20.946820954560575,,,,,,,,,,,,,,,,,,,,,,,97.600306110487,96.11354183758903,,,,,,,,,,,,,,,,
GLO,33091,24,,,,,,,-106.78269865691038,-111.70405588439726,,,,,,,,,,,,,,,,,,,,,,,-108.36182871682695,-118.002709320986,,,,,,,,,,,,,,,,,,,,,,,0.04566809022633361,0.08150949266072259,,,,,,,,,,,,,,,,,,,,,,,17.354619182358014,20.92238391880193,,,,,,,,,,,,,,,,,,,,,,,97.59672854820828,96.11464572446604,,,,,,,,,,,,,,,,
GLO,33121,24,,,,,,,-106.58291818120863,-111.7316831203876,,,,,,,,,,,,,,,,,,,,,,,-108.1537971728992,-117.99697413090082,,,,,,,,,,,,,,,,,,,,,,,0.04191070785236287,0.05227571180983684,,,,,,,,,,,,,,,,,,,,,,,17.333664679377122,20.89806363088976,,,,,,,,,,,,,,,,,,,,,,,97.59313271942032,96.11565061192337,,,,,,,,,,,,,,,,
GLO,33151,24,,,,,,,-106.4595207623355,-111.74278397256583,,,,,,,,,,,,,,,,,,,,,,,-108.03492201013002,-117.96803742727032,,,,,,,,,,,,,,,,,,,,,,,0.04329192239349936,0.06952997487223264,,,,,,,,,,,,,,,,,,,,,,,17.312616923935774,20.873857891308578,,,,,,,,,,,,,,,,,,,,,,,97.58951877231586,96.11655747465184,,,,,,,,,,,,,,,,
GLO,33181,24,,,,,,,-106.26445220306533,-111.76718751391775,,,,,,,,,,,,,,,,,,,,,,,-107.8310616093074,-117.95891320838683,,,,,,,,,,,,,,,,,,,,,,,0.03828571729909648,0.03732300930535848,,,,,,,,,,,,,,,,,,,,,,,17.291474439999195,20.849764527560428,,,,,,,,,,,,,,,,,,,,,,,97.58588685570288,96.1173672686222,,,,,,,,,,,,,,,,
GLO,33211,24,,,,,,,-106.08680765971295,-111.79170828615595,,,,,,,,,,,,,,,,,,,,,,,-107.64701365690507,-117.95057110381019,,,,,,,,,,,,,,,,,,,,,,,0.07845162369251277,0.049017981149083054,,,,,,,,,,,,,,,,,,,,,,,17.27023573538707,20.825781393617618,,,,,,,,,,,,,,,,,,,,,,,97.58223711905845,96.11808093142588,,,,,,,,,,,,,,,,
GLO,33241,24,,,,,,,-105.88231789615236,-111.83602574892154,,,,,,,,,,,,,,,,,,,,,,,-107.43037932784955,-117.97116570286404,,,,,,,,,,,,,,,,,,,,,,,0.07729650067934057,0.03447949400442181,,,,,,,,,,,,,,,,,,,,,,,17.248899301474392,20.801906369323202,,,,,,,,,,,,,,,,,,,,,,,97.57856971259332,96.11869938263239,,,,,,,,,,,,,,,,
GLO,33271,24,,,,,,,-105.59402712557782,-111.77209003476369,,,,,,,,,,,,,,,,,,,,,,,-107.11311827379183,-117.83769188433077,,,,,,,,,,,,,,,,,,,,,,,0.08094044441762742,0.04008150091845599,,,,,,,,,,,,,,,,,,,,,,,17.227463612896596,20.778137359831852,,,,,,,,,,,,,,,,,,,,,,,97.57488478730315,96.1192235241158,,,,,,,,,,,,,,,,
GLO,33301,24,,,,,,,-105.32051337190566,-111.69144629475062,,,,,,,,,,,,,,,,,,,,,,,-106.81201995880495,-117.68153787702771,,,,,,,,,,,,,,,,,,,,,,,0.07825087033593252,0.022920470652890778,,,,,,,,,,,,,,,,,,,,,,,17.20592712724693,20.75447229503584,,,,,,,,,,,,,,,,,,,,,,,97.57118249503624,96.11965424039609,,,,,,,,,,,,,,,,
GLO,33331,24,,,,,,,-105.07301981256677,-111.61673636175175,,,,,,,,,,,,,,,,,,,,,,,-106.54064053440887,-117.53502948603712,,,,,,,,,,,,,,,,,,,,,,,0.08245889712637008,0.031386414842673425,,,,,,,,,,,,,,,,,,,,,,,17.18428828476833,20.730909129019963,,,,,,,,,,,,,,,,,,,,,,,97.56746298854813,96.11999239895316,,,,,,,,,,,,,,,,
