system,SOD,nPRN,vtec_1,vtec_2,vtec_3,stec_1,stec_2,stec_3,roti_1,roti_2,roti_3,ipplat_1,ipplat_2,ipplat_3,ipplon_1,ipplon_2,ipplon_3
QZS,42511,3,-71.28848837756806,-56.24726909011246,-59.75467093514183,-68.36848994483904,-46.46045646660722,-55.19012854384554,0.03614817961839932,0.042886185046803554,0.031093847056091185,20.657404780266713,18.66180282599215,17.59279662092431,101.69135832962894,102.49110167036325,101.0740876534945
QZS,42541,3,-71.305586771124,-56.123221453947394,-59.59574736034265,-68.39257753582467,-46.309468672804236,-54.9927512051817,0.028883103802613462,0.032995979417445684,0.05000364702186917,20.655440325188987,18.667689681631764,17.592787513483227,101.69268009648954,102.48530123953559,101.07408651937521
QZS,42571,3,-71.29748624693622,-56.01357231947179,-59.43198271306355,-68.38145227044186,-46.17930544520417,-54.78936158529785,0.04282937836737623,0.021090271139890027,0.039749709396591386,20.653460616804672,18.673562549293077,17.592778392102943,101.69399860077694,102.47951746974165,101.07408538270643
QZS,42601,3,-71.32194494775419,-55.90922856673029,-59.26021159765426,-68.4158558346557,-46.05687604503991,-54.57602862173763,0.037205148647183904,0.03281040592294056,0.044870080184263826,20.651465665798032,18.679421499645695,17.592769256827562,101.695313801547,102.47375033532799,101.07408424348301
QZS,42631,3,-71.32309726793747,-55.79333579831322,-59.14232546703846,-68.41769295271945,-45.918015602052186,-54.42961430327555,0.023961605913398167,0.02985544863791895,0.04362239015757517,20.649455483106966,18.68526660300672,17.59276010770126,101.6966256579853,102.4679998106597,101.07408310169981
QZS,42661,3,-71.31165773911607,-55.65286105436748,-59.01649491424422,-68.40194284672987,-45.74410935549728,-54.27333374687951,0.027461810853585546,0.034823393048186914,0.05053667962077357,20.64743007992228,18.691097929343275,17.592750944768255,101.69793412940847,102.4622658701206,101.07408195735167
QZS,42691,3,-71.30298320032514,-55.5518100059578,-58.88745766411887,-68.39007249577469,-45.62677998249186,-54.11307064707385,0.019073307271041725,0.0325954762194597,0.04322594963595808,20.64538946769226,18.696915548257635,17.59274176807285,101.69923917526249,102.45654848812926,101.07408081043339
QZS,42721,3,-71.29414181498065,-55.470449367378535,-58.74338996789081,-68.37798366890866,-45.5376878545267,-53.934141247727446,0.02293405853647201,0.046143737266637425,0.03895825637324046,20.643333658117623,18.702719529002856,17.592732577659422,101.70054075512721,102.45084763912641,101.07407966093983
QZS,42751,3,-71.27913175196566,-55.35593155353986,-58.537275904904675,-68.35728757371385,-45.40130688464368,-53.67815706632866,0.01862042597130384,0.03029486038620643,0.02791851495267762,20.641262663151675,18.708509940478706,17.592723373572376,101.70183882871707,102.44516329758058,101.0740785088659
QZS,42781,3,-71.2556545404343,-55.2540024008594,-58.44328646096268,-68.32477249282954,-45.28301412368641,-53.56141874094212,0.021803408187381905,0.030346872206912682,0.03739802339171707,20.63917649500375,18.71428685122611,17.592714155856243,101.70313335588044,102.43949543799593,101.07407735420637
